Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,ocean_proximity,City,Median_House_Value_Category
500001.0,10.8805,10,7665,999,3517,998,34.28,-118.54,27774.13728,37210.97534,215871.3204,454746.3628,522763.9011,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.9052,23,4960,592,1929,586,34.26,-118.54,25596.69339,35736.99179,214092.4277,456434.7298,524447.371,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,9.6047,20,7384,845,2795,872,34.27,-118.57,26263.8908,38571.87559,216646.7724,453800.2264,521807.6764,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.565,31,1962,243,697,242,34.25,-118.56,24171.28565,36480.57293,214323.6214,456090.5958,524095.0103,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.1714,23,2980,362,1208,378,34.24,-118.56,23072.17475,35822.68241,213444.1903,456939.6905,524941.0221,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.8612,24,4338,558,1514,549,34.25,-118.51,25264.85008,32926.47514,211549.2698,459073.1678,527090.4176,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,4.1544,35,2245,393,783,402,34.15,-118.35,20601.01743,14628.90845,193920.148,477109.7452,545136.9364,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,11.2093,42,777,102,284,113,34.17,-118.43,18364.0668,21580.17167,200022.4657,470614.6307,538631.1559,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,9.6465,5,5429,665,2315,687,34.21,-118.65,20019.8369,41308.30439,216057.4366,454226.0575,522179.7825,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,3.1875,31,1950,383,870,357,34.17,-118.57,15242.9884,32771.92359,207932.6733,462329.1622,530301.0635,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,5.6327,18,6476,1082,2413,958,34.17,-118.58,15109.86831,33617.88577,208517.1652,461744.8645,529712.4915,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.9201,22,5791,706,2059,673,34.15,-118.57,13058.88161,31951.76023,206217.6065,464048.0894,532011.3322,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.8392,36,2127,297,761,274,34.17,-118.55,15668.96118,31092.73034,206771.2209,463500.8121,531480.8159,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,7.1322,35,2987,391,1244,387,34.17,-118.56,15429.9958,31930.09325,207350.6848,462914.4794,530890.506,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,5.4609,23,11154,1995,4076,1809,34.16,-118.51,15862.50192,27291.08597,203605.3214,466709.0852,534700.0909,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.7172,32,2108,309,769,274,34.16,-118.48,16041.16823,24839.12233,201906.2315,468483.0992,536483.8408,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.4958,37,3333,488,1171,485,34.16,-118.49,15928.68444,25649.44001,202469.9275,467890.7701,535888.4083,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,13.4196,33,3104,387,1111,376,34.15,-118.5,14757.75725,25983.73374,202162.3933,468152.3755,536143.3318,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.3587,33,2829,360,1010,363,34.15,-118.49,14821.99922,25150.3927,201593.5008,468742.7105,536737.0475,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.6796,28,3539,441,1190,421,34.14,-118.49,13716.16549,24691.3666,200719.4065,469595.7364,537586.6447,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,11.2979,24,4394,535,1443,528,34.13,-118.49,12611.40725,24274.63219,199847.6751,470449.8417,538437.1954,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,12.8879,28,6748,904,2431,876,34.14,-118.51,13639.23301,26393.06251,201864.9136,468418.0657,536401.7997,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,9.2189,28,6920,906,2515,860,34.14,-118.53,13284.03476,28112.39792,203020.9221,467244.3919,535220.3763,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.2292,26,10111,1295,3599,1257,34.15,-118.54,13886.4822,29369.34777,204464.2431,465801.0185,533777.0156,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.4399,23,9657,1189,3585,1162,34.14,-118.56,12209.6126,30717.98811,204774.2351,465491.4416,533454.7064,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.0549,44,1778,251,641,251,34.15,-118.44,15957.34229,21093.00116,198789.5845,471709.1726,539718.304,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,8.2269,43,804,117,267,110,34.15,-118.47,15118.89364,23503.28859,200463.7566,469926.3492,537927.0229,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,6.7082,30,3507,536,1427,525,34.16,-118.48,16041.16823,24839.12233,201906.2315,468483.0992,536483.8408,<1H OCEAN,Los Angeles,>= $Half Million
500001.0,10.3599,31,9320,1143,2980,1109,34.14,-118.48,13846.66517,23848.31503,200150.6473,470186.0612,538180.3431,<1H OCEAN,Los Angeles,>= $Half Million
